"Date","Period","Capacity"
37823,21,0.309548383
37823,22,0.360927088
37823,23,0.412305793
37823,24,0.434940807
37823,25,0.457575821
37823,26,0.447277804
37823,27,0.436979787
37823,28,0.412779187
37823,29,0.388578587
37823,30,0.332508795
37823,31,0.276439003
37823,32,0.188882826
37823,33,0.101326649
37823,34,0.0518864385
37823,35,0.002446228
37823,36,0.001223114
37823,37,0
37823,38,0
37823,39,0
37823,40,0
37823,41,0
37823,42,0
37823,43,0
37823,44,0
37823,45,0
37823,46,0
37823,47,0
37823,48,0
37824,1,0
37824,2,0
37824,3,0
37824,4,0
37824,5,0
37824,6,0
37824,7,0
37824,8,0
37824,9,0
37824,10,0
37824,11,0
37824,12,0
37824,13,0
37824,14,0
37824,15,0
37824,16,0.000624492
37824,17,0.001248984
37824,18,0.076663258
37824,19,0.152077532
37824,20,0.19220082
37824,21,0.232324108
37824,22,0.207932255
37824,23,0.183540402
37824,24,0.1830884745
37824,25,0.182636547
37824,26,0.173441495
37824,27,0.164246443
37824,28,0.2064721375
37824,29,0.248697832
37824,30,0.250331381
37824,31,0.25196493
37824,32,0.181729289
37824,33,0.111493648
37824,34,0.057944128
37824,35,0.004394608
37824,36,0.002197304
37824,37,0
37824,38,0
37824,39,0
37824,40,0
37824,41,0
37824,42,0
37824,43,0
37824,44,0
37824,45,0
37824,46,0
37824,47,0
37824,48,0
37825,1,0
37825,2,0
37825,3,0
37825,4,0
37825,5,0
37825,6,0
37825,7,0
37825,8,0
37825,9,0
37825,10,0
37825,11,0
37825,12,0
37825,13,0
37825,14,0
37825,15,0
37825,16,0.031397758
37825,17,0.062795516
37825,18,0.099414442
37825,19,0.136033368
37825,20,0.157682828
37825,21,0.179332288
37825,22,0.1953024105
37825,23,0.211272533
37825,24,0.2129790755
37825,25,0.214685618
37825,26,0.2077302685
37825,27,0.200774919
37825,28,0.1983805375
37825,29,0.195986156
37825,30,0.164567628
37825,31,0.1331491
37825,32,0.0873488205
37825,33,0.041548541
37825,34,0.0207742705
37825,35,0
37825,36,0
37825,37,0
37825,38,0
37825,39,0
37825,40,0
37825,41,0
37825,42,0
37825,43,0
37825,44,0
37825,45,0
37825,46,0
37825,47,0
37825,48,0
37826,1,0
37826,2,0
37826,3,0
37826,4,0
37826,5,0
37826,6,0
37826,7,0
37826,8,0
37826,9,0
37826,10,0
37826,11,0
37826,12,0
37826,13,0
37826,14,0
37826,15,0
37826,16,0.03274787
37826,17,0.06549574
37826,18,0.1025169375
37826,19,0.139538135
37826,20,0.169348574
37826,21,0.199159013
37826,22,0.22227523
37826,23,0.245391447
37826,24,0.2455355385
37826,25,0.24567963
37826,26,0.231614446
37826,27,0.217549262
37826,28,0.2338632045
37826,29,0.250177147
37826,30,0.234788445
37826,31,0.219399743
37826,32,0.1705208555
37826,33,0.121641968
