QTR,POP,GSP,RPE,BPE,TPE
40969,5611.981,83613.15979,23.23509291,14.4595656,16.78802221
41061,5632.521,83208.58324,23.1193803,14.38755581,16.70441652
41153,5656.652,84685.78021,27.76074351,17.31851858,20.08920879
41244,5680.502,83445.26387,27.70631068,17.2845607,20.04981819
41334,5710.847,84783.15516,27.59808291,17.21704289,19.97149858
41426,5735.007,85254.81509,27.49069737,17.1500505,19.89378847
41518,5764.271,84995.05467,28.37877017,19.19332224,21.63054523
41609,5787.086,85271.33797,28.10849617,19.01052869,21.42454003
41699,5819.604,85995.12238,27.94878881,18.90251432,21.30280969
41791,5841.667,87557.48502,27.84332168,18.83118408,21.22242173
41883,5867.843901,87320.34392,26.05767584,15.36916501,18.20520355
41974,5894.020801,87972.32002,25.89946218,15.27584848,18.09466752
42064,5920.197702,88417.41415,25.75466974,15.19044797,17.99350824
42156,5946.374602,89296.71951,25.63541715,15.1201112,17.91019238
42248,5972.971165,89723.93796,26.06325865,15.03688269,17.96256875
42339,5999.567728,90226.88126,25.9275505,14.95858751,17.86903989
42430,6026.164291,90750.55269,25.78360678,14.87554092,17.76983515
42522,6052.760854,91383.11526,25.63539173,14.79003004,17.66768663
42614,6079.487198,91938.10603,25.86920598,14.93031571,17.83278873
42705,6106.213543,92536.66985,25.71192359,14.83954076,17.72436702
42795,6132.939888,93124.10876,25.55071633,14.7465006,17.61323972
